id,title,text,author,source,topic,publish_date,year,month,day,word_count,char_count,title_length,label
1,Miracle Cure Update 1,"This article discusses Miracle Cure Update 1. However, the claims are not supported by verified sources and may contain misleading or false information. Further details are provided with background context and analysis.",Guest Writer,ViralNow,Miracle Cure,2023-09-30,2023,9,30,32,219,21,0
2,Conspiracy Update 2,"This article discusses Conspiracy Update 2. However, the claims are not supported by verified sources and may contain misleading or false information. Further details are provided with background context and analysis.",Unknown Reporter,RumorTimes,Conspiracy,2024-07-29,2024,7,29,31,217,19,0
3,Technology Update 3,This article discusses Technology Update 3. The information has been verified by multiple trusted sources and supported by official statements. Further details are provided with background context and analysis.,Ayesha Khan,BBC News,Technology,2023-05-19,2023,5,19,29,210,19,1
4,Economy Update 4,This article discusses Economy Update 4. The information has been verified by multiple trusted sources and supported by official statements. Further details are provided with background context and analysis.,Fatima Noor,Al Jazeera,Economy,2023-09-09,2023,9,9,29,207,16,1
5,Conspiracy Update 5,"This article discusses Conspiracy Update 5. However, the claims are not supported by verified sources and may contain misleading or false information. Further details are provided with background context and analysis.",Anonymous,RumorTimes,Conspiracy,2024-09-03,2024,9,3,31,217,19,0
6,Politics Update 6,This article discusses Politics Update 6. The information has been verified by multiple trusted sources and supported by official statements. Further details are provided with background context and analysis.,Michael Brown,BBC News,Politics,2024-04-04,2024,4,4,29,208,17,1
7,Conspiracy Update 7,"This article discusses Conspiracy Update 7. However, the claims are not supported by verified sources and may contain misleading or false information. Further details are provided with background context and analysis.",Editor Desk,ViralNow,Conspiracy,2023-05-26,2023,5,26,31,217,19,0
8,Conspiracy Update 8,"This article discusses Conspiracy Update 8. However, the claims are not supported by verified sources and may contain misleading or false information. Further details are provided with background context and analysis.",Guest Writer,ClickDaily,Conspiracy,2024-08-10,2024,8,10,31,217,19,0
9,Technology Update 9,This article discusses Technology Update 9. The information has been verified by multiple trusted sources and supported by official statements. Further details are provided with background context and analysis.,John Smith,Dawn News,Technology,2023-11-09,2023,11,9,29,210,19,1
10,Economy Update 10,This article discusses Economy Update 10. The information has been verified by multiple trusted sources and supported by official statements. Further details are provided with background context and analysis.,Ayesha Khan,Dawn News,Economy,2024-09-15,2024,9,15,29,208,17,1
